,translated_tweet,remove,tweet_clean,tweet
14,"After the booster vaccine, just salfok the biohazard safety box, which automatically remembers the yellow safety box that provides clinics that don't use the end, I don't choose to use environmentalist plastic jerry cans, the url is different.","After the booster vaccine, just salfok the biohazard safety box, which automatically remembers the yellow safety box that provides clinics that don't use the end, I don't choose to use environmentalist plastic jerry cans, the url is different.","['after', 'the', 'booster', 'vaccine', 'just', 'salfok', 'the', 'biohazard', 'safety', 'box', 'which', 'automatically', 'remembers', 'the', 'yellow', 'safety', 'box', 'that', 'provides', 'clinics', 'that', 'don t', 'use', 'the', 'end', 'i', 'don t', 'choose', 'to', 'use', 'environmentalist', 'plastic', 'jerry', 'cans', 'the', 'url', 'is', 'different']",after the booster vaccine just salfok the biohazard safety box which automatically remembers the yellow safety box that provides clinics that don t use the end i don t choose to use environmentalist plastic jerry cans the url is different
15,"After the booster vaccine, thank God, I didn't use the vaccine fever weakness in the morning, I woke up because my body was shivering, it was warm, then I woke up at an hour, the condition was really cool, I went straight to the mall","After the booster vaccine, thank God, I didn't use the vaccine fever weakness in the morning, I woke up because my body was shivering, it was warm, then I woke up at an hour, the condition was really cool, I went straight to the mall","['after', 'the', 'booster', 'vaccine', 'thank', 'god', 'i', 'didn t', 'use', 'the', 'vaccine', 'fever', 'weakness', 'in', 'the', 'morning', 'i', 'woke', 'up', 'because', 'my', 'body', 'was', 'shivering', 'it', 'was', 'warm', 'then', 'i', 'woke', 'up', 'at', 'an', 'hour', 'the', 'condition', 'was', 'really', 'cool', 'i', 'went', 'straight', 'to', 'the', 'mall']",after the booster vaccine thank god i didn t use the vaccine fever weakness in the morning i woke up because my body was shivering it was warm then i woke up at an hour the condition was really cool i went straight to the mall
16,"After the booster vaccine, thank God it's not like what people say","After the booster vaccine, thank God it's not like what people say","['after', 'the', 'booster', 'vaccine', 'thank', 'god', 'it s', 'not', 'like', 'what', 'people', 'say']",after the booster vaccine thank god it s not like what people say
17,"After the booster vaccine, hope for the effect","After the booster vaccine, hope for the effect","['after', 'the', 'booster', 'vaccine', 'hope', 'for', 'the', 'effect']",after the booster vaccine hope for the effect
18,"After the booster vaccine, I hope the Maghrib effect will go away","After the booster vaccine, I hope the Maghrib effect will go away","['after', 'the', 'booster', 'vaccine', 'i', 'hope', 'the', 'maghrib', 'effect', 'will', 'go', 'away']",after the booster vaccine i hope the maghrib effect will go away
19,"After the booster vaccine, the body is not hot","After the booster vaccine, the body is not hot","['after', 'the', 'booster', 'vaccine', 'the', 'body', 'is', 'not', 'hot']",after the booster vaccine the body is not hot
20,"After the booster vaccine, my body aches, my Android is hit by the wind, my bones hurt","After the booster vaccine, my body aches, my Android is hit by the wind, my bones hurt","['after', 'the', 'booster', 'vaccine', 'my', 'body', 'aches', 'my', 'android', 'is', 'hit', 'by', 'the', 'wind', 'my', 'bones', 'hurt']",after the booster vaccine my body aches my android is hit by the wind my bones hurt
21,"After the booster vaccine, the body is totally meningo","After the booster vaccine, the body is totally meningo","['after', 'the', 'booster', 'vaccine', 'the', 'body', 'is', 'totally', 'meningo']",after the booster vaccine the body is totally meningo
22,"After the booster vaccine, the body feels really hot","After the booster vaccine, the body feels really hot","['after', 'the', 'booster', 'vaccine', 'the', 'body', 'feels', 'really', 'hot']",after the booster vaccine the body feels really hot
23,"After the innate booster vaccine, I go to sleep","After the innate booster vaccine, I go to sleep","['after', 'the', 'innate', 'booster', 'vaccine', 'i', 'go', 'to', 'sleep']",after the innate booster vaccine i go to sleep
24,"After the booster vaccine, tomorrow istora, I hope you watch it or not","After the booster vaccine, tomorrow istora, I hope you watch it or not","['after', 'the', 'booster', 'vaccine', 'tomorrow', 'istora', 'i', 'hope', 'you', 'watch', 'it', 'or', 'not']",after the booster vaccine tomorrow istora i hope you watch it or not
25,after the ci booster vaccine,after the ci booster vaccine,"['after', 'the', 'ci', 'booster', 'vaccine']",after the ci booster vaccine
26,"After the booster vaccine, the fever just got chills, but I used it to sleep on the auto clock btw the menfess was entrusted","After the booster vaccine, the fever just got chills, but I used it to sleep on the auto clock btw the menfess was entrusted","['after', 'the', 'booster', 'vaccine', 'the', 'fever', 'just', 'got', 'chills', 'but', 'i', 'used', 'it', 'to', 'sleep', 'on', 'the', 'auto', 'clock', 'btw', 'the', 'menfess', 'was', 'entrusted']",after the booster vaccine the fever just got chills but i used it to sleep on the auto clock btw the menfess was entrusted
27,"After the booster vaccine, the drop is really bad","After the booster vaccine, the drop is really bad","['after', 'the', 'booster', 'vaccine', 'the', 'drop', 'is', 'really', 'bad']",after the booster vaccine the drop is really bad
28,"After the booster vaccine, I fainted at the health center","After the booster vaccine, I fainted at the health center","['after', 'the', 'booster', 'vaccine', 'i', 'fainted', 'at', 'the', 'health', 'center']",after the booster vaccine i fainted at the health center
29,"After the booster vaccine, it's easy to fall asleep","After the booster vaccine, it's easy to fall asleep","['after', 'the', 'booster', 'vaccine', 'it s', 'easy', 'to', 'fall', 'asleep']",after the booster vaccine it s easy to fall asleep
30,"After the booster vaccine, it really lasts, doesn't it?","After the booster vaccine, it really lasts, doesn't it?","['after', 'the', 'booster', 'vaccine', 'it', 'really', 'lasts', 'doesn t', 'it']",after the booster vaccine it really lasts doesn t it
31,"After the booster vaccine, hibernation is really good","After the booster vaccine, hibernation is really good","['after', 'the', 'booster', 'vaccine', 'hibernation', 'is', 'really', 'good']",after the booster vaccine hibernation is really good
32,"After the booster vaccine, there are no side effects, super happy","After the booster vaccine, there are no side effects, super happy","['after', 'the', 'booster', 'vaccine', 'there', 'are', 'no', 'side', 'effects', 'super', 'happy']",after the booster vaccine there are no side effects super happy
33,"After the booster vaccine, it doesn't hurt, it's gel huhu","After the booster vaccine, it doesn't hurt, it's gel huhu","['after', 'the', 'booster', 'vaccine', 'it', 'doesn t', 'hurt', 'it s', 'gel', 'huhu']",after the booster vaccine it doesn t hurt it s gel huhu
34,"After the booster vaccine, guys, it's slow, it's up right away, using spices, some have been vaccinated with Astra, have a hungry fever","After the booster vaccine, guys, it's slow, it's up right away, using spices, some have been vaccinated with Astra, have a hungry fever","['after', 'the', 'booster', 'vaccine', 'guys', 'it s', 'slow', 'it s', 'up', 'right', 'away', 'using', 'spices', 'some', 'have', 'been', 'vaccinated', 'with', 'astra', 'have', 'a', 'hungry', 'fever']",after the booster vaccine guys it s slow it s up right away using spices some have been vaccinated with astra have a hungry fever
35,"After the booster vaccine, I have a fever","After the booster vaccine, I have a fever","['after', 'the', 'booster', 'vaccine', 'i', 'have', 'a', 'fever']",after the booster vaccine i have a fever
36,"After the booster vaccine, it's like being punched","After the booster vaccine, it's like being punched","['after', 'the', 'booster', 'vaccine', 'it s', 'like', 'being', 'punched']",after the booster vaccine it s like being punched
37,"After the booster vaccine, you're going to take off your body","After the booster vaccine, you're going to take off your body","['after', 'the', 'booster', 'vaccine', 'you re', 'going', 'to', 'take', 'off', 'your', 'body']",after the booster vaccine you re going to take off your body
38,"After the booster vaccine, why do you feel hungry so fast, I just ate but I feel empty when my stomach becomes hungry and then","After the booster vaccine, why do you feel hungry so fast, I just ate but I feel empty when my stomach becomes hungry and then","['after', 'the', 'booster', 'vaccine', 'why', 'do', 'you', 'feel', 'hungry', 'so', 'fast', 'i', 'just', 'ate', 'but', 'i', 'feel', 'empty', 'when', 'my', 'stomach', 'becomes', 'hungry', 'and', 'then']",after the booster vaccine why do you feel hungry so fast i just ate but i feel empty when my stomach becomes hungry and then
39,"After the booster vaccine, I immediately fell asleep, dizzy, the effect of gin, I'm the one who was sleepy earlier","After the booster vaccine, I immediately fell asleep, dizzy, the effect of gin, I'm the one who was sleepy earlier","['after', 'the', 'booster', 'vaccine', 'i', 'immediately', 'fell', 'asleep', 'dizzy', 'the', 'effect', 'of', 'gin', 'i m', 'the', 'one', 'who', 'was', 'sleepy', 'earlier']",after the booster vaccine i immediately fell asleep dizzy the effect of gin i m the one who was sleepy earlier
40,"After the booster vaccine, I feel dizzy and have a fever","After the booster vaccine, I feel dizzy and have a fever","['after', 'the', 'booster', 'vaccine', 'i', 'feel', 'dizzy', 'and', 'have', 'a', 'fever']",after the booster vaccine i feel dizzy and have a fever
41,"After the booster vaccine, the arm w asa is like being hung by a tuyul, it's so gelled that it can't be moved","After the booster vaccine, the arm w asa is like being hung by a tuyul, it's so gelled that it can't be moved","['after', 'the', 'booster', 'vaccine', 'the', 'arm', 'w', 'asa', 'is', 'like', 'being', 'hung', 'by', 'a', 'tuyul', 'it s', 'so', 'gelled', 'that', 'it', 'can t', 'be', 'moved']",after the booster vaccine the arm w asa is like being hung by a tuyul it s so gelled that it can t be moved
42,after the booster vaccine melts the body gin,after the booster vaccine melts the body gin,"['after', 'the', 'booster', 'vaccine', 'melts', 'the', 'body', 'gin']",after the booster vaccine melts the body gin
43,after the booster vaccine,after the booster vaccine,"['after', 'the', 'booster', 'vaccine']",after the booster vaccine
44,"after the booster vaccine, the bomb can take a shower, the employer url","after the booster vaccine, the bomb can take a shower, the employer url","['after', 'the', 'booster', 'vaccine', 'the', 'bomb', 'can', 'take', 'a', 'shower', 'the', 'employer', 'url']",after the booster vaccine the bomb can take a shower the employer url
45,after the booster vaccine,after the booster vaccine,"['after', 'the', 'booster', 'vaccine']",after the booster vaccine
46,"after the booster vaccine, use pfizer hand gel instead of using az","after the booster vaccine, use pfizer hand gel instead of using az","['after', 'the', 'booster', 'vaccine', 'use', 'pfizer', 'hand', 'gel', 'instead', 'of', 'using', 'az']",after the booster vaccine use pfizer hand gel instead of using az
47,"After the pfizer booster vaccine, the gel hands have seen the forehead teaser","After the pfizer booster vaccine, the gel hands have seen the forehead teaser","['after', 'the', 'pfizer', 'booster', 'vaccine', 'the', 'gel', 'hands', 'have', 'seen', 'the', 'forehead', 'teaser']",after the pfizer booster vaccine the gel hands have seen the forehead teaser
48,"After the booster vaccine, I'm really willing to work overtime near the date, it's really cool","After the booster vaccine, I'm really willing to work overtime near the date, it's really cool","['after', 'the', 'booster', 'vaccine', 'i m', 'really', 'willing', 'to', 'work', 'overtime', 'near', 'the', 'date', 'it s', 'really', 'cool']",after the booster vaccine i m really willing to work overtime near the date it s really cool
49,"after the booster vaccine, it's great","after the booster vaccine, it's great","['after', 'the', 'booster', 'vaccine', 'it s', 'great']",after the booster vaccine it s great
50,"After the booster vaccine, Kipi hahaha","After the booster vaccine, Kipi hahaha","['after', 'the', 'booster', 'vaccine', 'kipi', 'hahaha']",after the booster vaccine kipi hahaha
51,"After the booster vaccine, the left and right gel are injected","After the booster vaccine, the left and right gel are injected","['after', 'the', 'booster', 'vaccine', 'the', 'left', 'and', 'right', 'gel', 'are', 'injected']",after the booster vaccine the left and right gel are injected
52,"After the booster vaccine, my hands hurt so much I just took a glass and didn't feel like my body was crushed","After the booster vaccine, my hands hurt so much I just took a glass and didn't feel like my body was crushed","['after', 'the', 'booster', 'vaccine', 'my', 'hands', 'hurt', 'so', 'much', 'i', 'just', 'took', 'a', 'glass', 'and', 'didn t', 'feel', 'like', 'my', 'body', 'was', 'crushed']",after the booster vaccine my hands hurt so much i just took a glass and didn t feel like my body was crushed
53,"After the booster vaccine, my left hand is really sore, I can't sleep on my left side","After the booster vaccine, my left hand is really sore, I can't sleep on my left side","['after', 'the', 'booster', 'vaccine', 'my', 'left', 'hand', 'is', 'really', 'sore', 'i', 'can t', 'sleep', 'on', 'my', 'left', 'side']",after the booster vaccine my left hand is really sore i can t sleep on my left side
54,"After the booster vaccine, the doctor, when I gave the injection, didn't feel like it was too bad, I blinked and then it was done right away hahahaha, cool","After the booster vaccine, the doctor, when I gave the injection, didn't feel like it was too bad, I blinked and then it was done right away hahahaha, cool","['after', 'the', 'booster', 'vaccine', 'the', 'doctor', 'when', 'i', 'gave', 'the', 'injection', 'didn t', 'feel', 'like', 'it', 'was', 'too', 'bad', 'i', 'blinked', 'and', 'then', 'it', 'was', 'done', 'right', 'away', 'hahahaha', 'cool']",after the booster vaccine the doctor when i gave the injection didn t feel like it was too bad i blinked and then it was done right away hahahaha cool
55,"After the booster vaccine this morning, I don't feel the body gel, I just feel sleepy in the afternoon, it's like a syrup in the afternoon, but now my head hurts really bad, like pulling someone, my feet are cold, poool","After the booster vaccine this morning, I don't feel the body gel, I just feel sleepy in the afternoon, it's like a syrup in the afternoon, but now my head hurts really bad, like pulling someone, my feet are cold, poool","['after', 'the', 'booster', 'vaccine', 'this', 'morning', 'i', 'don t', 'feel', 'the', 'body', 'gel', 'i', 'just', 'feel', 'sleepy', 'in', 'the', 'afternoon', 'it s', 'like', 'a', 'syrup', 'in', 'the', 'afternoon', 'but', 'now', 'my', 'head', 'hurts', 'really', 'bad', 'like', 'pulling', 'someone', 'my', 'feet', 'are', 'cold', 'poool']",after the booster vaccine this morning i don t feel the body gel i just feel sleepy in the afternoon it s like a syrup in the afternoon but now my head hurts really bad like pulling someone my feet are cold poool
56,"After the booster vaccine this afternoon, why do you have aches and pains in your body","After the booster vaccine this afternoon, why do you have aches and pains in your body","['after', 'the', 'booster', 'vaccine', 'this', 'afternoon', 'why', 'do', 'you', 'have', 'aches', 'and', 'pains', 'in', 'your', 'body']",after the booster vaccine this afternoon why do you have aches and pains in your body
57,"After the booster vaccine, the fever continues and now the default is sleepy","After the booster vaccine, the fever continues and now the default is sleepy","['after', 'the', 'booster', 'vaccine', 'the', 'fever', 'continues', 'and', 'now', 'the', 'default', 'is', 'sleepy']",after the booster vaccine the fever continues and now the default is sleepy
58,"after the personal dose of astrazeneca vaccine, there are no side effects, until the vaccine bombs friends, let's forget the vaccine, help with the order program so that it is face to face","after the personal dose of astrazeneca vaccine, there are no side effects, until the vaccine bombs friends, let's forget the vaccine, help with the order program so that it is face to face","['after', 'the', 'personal', 'dose', 'of', 'astrazeneca', 'vaccine', 'there', 'are', 'no', 'side', 'effects', 'until', 'the', 'vaccine', 'bombs', 'friends', 'let s', 'forget', 'the', 'vaccine', 'help', 'with', 'the', 'order', 'program', 'so', 'that', 'it', 'is', 'face', 'to', 'face']",after the personal dose of astrazeneca vaccine there are no side effects until the vaccine bombs friends let s forget the vaccine help with the order program so that it is face to face
59,"After the vaccine, the effect is like a url worm","After the vaccine, the effect is like a url worm","['after', 'the', 'vaccine', 'the', 'effect', 'is', 'like', 'a', 'url', 'worm']",after the vaccine the effect is like a url worm
60,"After the vaccine, the side effects are spoiled","After the vaccine, the side effects are spoiled","['after', 'the', 'vaccine', 'the', 'side', 'effects', 'are', 'spoiled']",after the vaccine the side effects are spoiled
61,after the vaccine hopefully kipi,after the vaccine hopefully kipi,"['after', 'the', 'vaccine', 'hopefully', 'kipi']",after the vaccine hopefully kipi
62,"After the vaccine, I purposely didn't sleep, I was afraid of getting heavy before the test and then I didn't sleep, I mean","After the vaccine, I purposely didn't sleep, I was afraid of getting heavy before the test and then I didn't sleep, I mean","['after', 'the', 'vaccine', 'i', 'purposely', 'didn t', 'sleep', 'i', 'was', 'afraid', 'of', 'getting', 'heavy', 'before', 'the', 'test', 'and', 'then', 'i', 'didn t', 'sleep', 'i', 'mean']",after the vaccine i purposely didn t sleep i was afraid of getting heavy before the test and then i didn t sleep i mean
63,"After the vaccine, I'm afraid of the effects of fever. The solution for drinking paracetamol is fever","After the vaccine, I'm afraid of the effects of fever. The solution for drinking paracetamol is fever","['after', 'the', 'vaccine', 'i m', 'afraid', 'of', 'the', 'effects', 'of', 'fever', 'the', 'solution', 'for', 'drinking', 'paracetamol', 'is', 'fever']",after the vaccine i m afraid of the effects of fever the solution for drinking paracetamol is fever
64,"After the three vaccines, the next day my menses is like a slam","After the three vaccines, the next day my menses is like a slam","['after', 'the', 'three', 'vaccines', 'the', 'next', 'day', 'my', 'menses', 'is', 'like', 'a', 'slam']",after the three vaccines the next day my menses is like a slam
65,"After the three-handed vaccine, Muhammad Ali's fists are like a fever, the body feels cold, it's very cold at night when I sleep","After the three-handed vaccine, Muhammad Ali's fists are like a fever, the body feels cold, it's very cold at night when I sleep","['after', 'the', 'three-handed', 'vaccine', 'muhammad', 'ali s', 'fists', 'are', 'like', 'a', 'fever', 'the', 'body', 'feels', 'cold', 'it s', 'very', 'cold', 'at', 'night', 'when', 'i', 'sleep']",after the three-handed vaccine muhammad ali s fists are like a fever the body feels cold it s very cold at night when i sleep
66,"After the booster vaccine, my hands are really numb, gosh it's on my neck","After the booster vaccine, my hands are really numb, gosh it's on my neck","['after', 'the', 'booster', 'vaccine', 'my', 'hands', 'are', 'really', 'numb', 'gosh', 'it s', 'on', 'my', 'neck']",after the booster vaccine my hands are really numb gosh it s on my neck
67,"After the three auto tepar vaccines are finished at home, you move to make half die","After the three auto tepar vaccines are finished at home, you move to make half die","['after', 'the', 'three', 'auto', 'tepar', 'vaccines', 'are', 'finished', 'at', 'home', 'you', 'move', 'to', 'make', 'half', 'die']",after the three auto tepar vaccines are finished at home you move to make half die
68,"The vaccine event is over, tomorrow's graduation rehearsal is broken once","The vaccine event is over, tomorrow's graduation rehearsal is broken once","['the', 'vaccine', 'event', 'is', 'over', 'tomorrow s', 'graduation', 'rehearsal', 'is', 'broken', 'once']",the vaccine event is over tomorrow s graduation rehearsal is broken once
69,"there is news of personal traffic accidents, cases of tiredness and fatigue, the effect of the vaccine from my friend, who was my driver, after the vaccine, there was no severe effect, but physically, I get tired easily after resting","there is news of personal traffic accidents, cases of tiredness and fatigue, the effect of the vaccine from my friend, who was my driver, after the vaccine, there was no severe effect, but physically, I get tired easily after resting","['there', 'is', 'news', 'of', 'personal', 'traffic', 'accidents', 'cases', 'of', 'tiredness', 'and', 'fatigue', 'the', 'effect', 'of', 'the', 'vaccine', 'from', 'my', 'friend', 'who', 'was', 'my', 'driver', 'after', 'the', 'vaccine', 'there', 'was', 'no', 'severe', 'effect', 'but', 'physically', 'i', 'get', 'tired', 'easily', 'after', 'resting']",there is news of personal traffic accidents cases of tiredness and fatigue the effect of the vaccine from my friend who was my driver after the vaccine there was no severe effect but physically i get tired easily after resting
70,there was yesterday the booster vaccine rsnd un dips vaccine the effect that feels really heavy on the body,there was yesterday the booster vaccine rsnd un dips vaccine the effect that feels really heavy on the body,"['there', 'was', 'yesterday', 'the', 'booster', 'vaccine', 'rsnd', 'un', 'dips', 'vaccine', 'the', 'effect', 'that', 'feels', 'really', 'heavy', 'on', 'the', 'body']",there was yesterday the booster vaccine rsnd un dips vaccine the effect that feels really heavy on the body
71,"my sister in feb now booster vaccine using pfizer sardjito just come before morning, hopefully it's still","my sister in feb now booster vaccine using pfizer sardjito just come before morning, hopefully it's still","['my', 'sister', 'in', 'feb', 'now', 'booster', 'vaccine', 'using', 'pfizer', 'sardjito', 'just', 'come', 'before', 'morning', 'hopefully', 'it s', 'still']",my sister in feb now booster vaccine using pfizer sardjito just come before morning hopefully it s still
72,my sister wants to hurry up because her body aches after the booster vaccine yesterday,my sister wants to hurry up because her body aches after the booster vaccine yesterday,"['my', 'sister', 'wants', 'to', 'hurry', 'up', 'because', 'her', 'body', 'aches', 'after', 'the', 'booster', 'vaccine', 'yesterday']",my sister wants to hurry up because her body aches after the booster vaccine yesterday
73,"my sister came home from work said I had the booster vaccine, my sister is sore tomorrow, you're sore in the morning, it's gone, brother, I'm good, I've had the vaccine in February, it's a bummer","my sister came home from work said I had the booster vaccine, my sister is sore tomorrow, you're sore in the morning, it's gone, brother, I'm good, I've had the vaccine in February, it's a bummer","['my', 'sister', 'came', 'home', 'from', 'work', 'said', 'i', 'had', 'the', 'booster', 'vaccine', 'my', 'sister', 'is', 'sore', 'tomorrow', 'you re', 'sore', 'in', 'the', 'morning', 'it s', 'gone', 'brother', 'i m', 'good', 'i ve', 'had', 'the', 'vaccine', 'in', 'february', 'it s', 'a', 'bummer']",my sister came home from work said i had the booster vaccine my sister is sore tomorrow you re sore in the morning it s gone brother i m good i ve had the vaccine in february it s a bummer
74,"Bentakulu's relatives vaccinate against Mela, our brothers and sisters vaccinate in Bentakulu, too. There are healthy facilities available, there are booster vaccines, mela vaccines are safe halal vaccines url","Bentakulu's relatives vaccinate against Mela, our brothers and sisters vaccinate in Bentakulu, too. There are healthy facilities available, there are booster vaccines, mela vaccines are safe halal vaccines url","['bentakulu s', 'relatives', 'vaccinate', 'against', 'mela', 'our', 'brothers', 'and', 'sisters', 'vaccinate', 'in', 'bentakulu', 'too', 'there', 'are', 'healthy', 'facilities', 'available', 'there', 'are', 'booster', 'vaccines', 'mela', 'vaccines', 'are', 'safe', 'halal', 'vaccines', 'url']",bentakulu s relatives vaccinate against mela our brothers and sisters vaccinate in bentakulu too there are healthy facilities available there are booster vaccines mela vaccines are safe halal vaccines url
75,fair ma must order for free vaccine booster government urges review of booster plan pay url,fair ma must order for free vaccine booster government urges review of booster plan pay url,"['fair', 'ma', 'must', 'order', 'for', 'free', 'vaccine', 'booster', 'government', 'urges', 'review', 'of', 'booster', 'plan', 'pay', 'url']",fair ma must order for free vaccine booster government urges review of booster plan pay url
76,fair order urge delay free booster vaccine url,fair order urge delay free booster vaccine url,"['fair', 'order', 'urge', 'delay', 'free', 'booster', 'vaccine', 'url']",fair order urge delay free booster vaccine url
77,fair order urge vaccinate free booster vaccine url free boostervaccine third dose booster vaccine,fair order urge vaccinate free booster vaccine url free boostervaccine third dose booster vaccine,"['fair', 'order', 'urge', 'vaccinate', 'free', 'booster', 'vaccine', 'url', 'free', 'boostervaccine', 'third', 'dose', 'booster', 'vaccine']",fair order urge vaccinate free booster vaccine url free boostervaccine third dose booster vaccine
78,"Oops, I'll have a booster vaccine tomorrow, right?","Oops, I'll have a booster vaccine tomorrow, right?","['oops', 'i ll', 'have', 'a', 'booster', 'vaccine', 'tomorrow', 'right']",oops i ll have a booster vaccine tomorrow right
79,"Oops, I ordered a booster vaccine again, it's really bad jing","Oops, I ordered a booster vaccine again, it's really bad jing","['oops', 'i', 'ordered', 'a', 'booster', 'vaccine', 'again', 'it s', 'really', 'bad', 'jing']",oops i ordered a booster vaccine again it s really bad jing
80,"Oops, the triple vaccine schedule is after a gin allergy","Oops, the triple vaccine schedule is after a gin allergy","['oops', 'the', 'triple', 'vaccine', 'schedule', 'is', 'after', 'a', 'gin', 'allergy']",oops the triple vaccine schedule is after a gin allergy
81,Oops pls haven't booster vaccine yet,Oops pls haven't booster vaccine yet,"['oops', 'pls', 'haven t', 'booster', 'vaccine', 'yet']",oops pls haven t booster vaccine yet
